izn          menc_Msun       radius_cm         tau3keV         tau6keV         tau1keV         tau2keV         tau5keV        tau10keV        tau20keV        tau50keV       tau100keV       tau200keV       tau500keV       tau847keV      tau1000keV      tau1238keV      tau2000keV
58        4.866133e-01    2.657232e+15    3.440026e-01    6.094438e-01    8.614064e-02    2.241721e-01    5.305600e-01    8.449189e-01    1.129130e+00    1.282333e+00    1.210950e+00    1.030618e+00    7.432470e-01    5.891179e-01    5.445229e-01    4.892698e-01    3.777265e-01
59        4.953515e-01    2.684448e+15    3.374729e-01    5.973781e-01    8.445393e-02    2.199095e-01    5.202189e-01    8.275992e-01    1.105258e+00    1.254474e+00    1.184339e+00    1.007833e+00    7.267671e-01    5.760481e-01    5.324412e-01    4.784127e-01    3.693433e-01
60        5.038872e-01    2.719872e+15    3.308329e-01    5.850997e-01    8.273917e-02    2.155762e-01    5.096972e-01    8.099699e-01    1.080955e+00    1.226103e+00    1.157238e+00    9.846263e-01    7.099819e-01    5.627359e-01    5.201355e-01    4.673544e-01    3.608048e-01
61        5.167221e-01    2.760480e+15    3.245056e-01    5.733916e-01    8.110555e-02    2.114480e-01    4.996657e-01    7.931557e-01    1.057771e+00    1.199034e+00    1.131377e+00    9.624806e-01    6.939637e-01    5.500319e-01    5.083920e-01    4.568012e-01    3.526563e-01
62        5.293631e-01    2.799360e+15    3.152689e-01    5.562868e-01    7.872145e-02    2.054235e-01    4.850129e-01    7.685855e-01    1.023886e+00    1.159460e+00    1.093565e+00    9.300994e-01    6.705411e-01    5.314556e-01    4.912201e-01    4.413698e-01    3.407411e-01
63        5.423567e-01    2.853360e+15    3.064466e-01    5.399352e-01    7.644508e-02    1.996714e-01    4.710080e-01    7.450907e-01    9.914753e-01    1.121599e+00    1.057386e+00    8.991139e-01    6.481273e-01    5.136791e-01    4.747876e-01    4.266028e-01    3.293389e-01
64        5.551301e-01    2.896128e+15    2.976885e-01    5.236896e-01    7.418599e-02    1.939629e-01    4.570963e-01    7.217427e-01    9.592606e-01    1.083957e+00    1.021414e+00    8.683031e-01    6.258393e-01    4.960023e-01    4.584472e-01    4.119186e-01    3.180006e-01
65        5.678792e-01    2.948832e+15    2.893784e-01    5.082641e-01    7.204315e-02    1.885482e-01    4.438890e-01    6.995688e-01    9.286602e-01    1.048194e+00    9.872336e-01    8.390260e-01    6.046600e-01    4.792047e-01    4.429195e-01    3.979647e-01    3.072262e-01
66        5.808353e-01    2.998944e+15    2.813636e-01    4.933771e-01    6.997709e-02    1.833274e-01    4.311444e-01    6.781652e-01    8.991181e-01    1.013662e+00    9.542266e-01    8.107524e-01    5.842062e-01    4.629824e-01    4.279237e-01    3.844888e-01    2.968208e-01
67        5.935844e-01    3.042576e+15    2.735069e-01    4.787754e-01    6.795235e-02    1.782109e-01    4.186456e-01    6.571685e-01    8.701335e-01    9.797753e-01    9.218351e-01    7.830048e-01    5.641324e-01    4.470615e-01    4.132064e-01    3.712631e-01    2.866087e-01
