# Energy(keV) Counts
1.417316e+00 2.663311e+06
1.418492e+00 2.660717e+06
1.419669e+00 2.660187e+06
1.420847e+00 2.653939e+06
1.422026e+00 2.654661e+06
1.423206e+00 2.648595e+06
1.424387e+00 2.646544e+06
1.425569e+00 2.642943e+06
1.426751e+00 2.640898e+06
1.427935e+00 2.642023e+06
1.429120e+00 2.636196e+06
1.430306e+00 2.636622e+06
1.431493e+00 2.738601e+06
1.432680e+00 2.843247e+06
1.433869e+00 2.627939e+06
1.435059e+00 2.625556e+06
1.436250e+00 2.626859e+06
1.437441e+00 2.619476e+06
1.438634e+00 2.616518e+06
1.439828e+00 2.612177e+06
1.441023e+00 2.612770e+06
1.442218e+00 2.608128e+06
1.443415e+00 2.609162e+06
1.444613e+00 2.604419e+06
1.445811e+00 2.603850e+06
1.447011e+00 2.601404e+06
1.448212e+00 2.596212e+06
1.449413e+00 2.594260e+06
1.450616e+00 2.592525e+06
1.451820e+00 2.586309e+06
1.453024e+00 2.589491e+06
1.454230e+00 2.584089e+06
1.455436e+00 2.581654e+06
1.456644e+00 2.580302e+06
1.457853e+00 2.578548e+06
1.459062e+00 2.573014e+06
1.460273e+00 2.571320e+06
1.461485e+00 2.572606e+06
1.462697e+00 2.567030e+06
1.463911e+00 2.565305e+06
1.465126e+00 2.561740e+06
1.466341e+00 2.561193e+06
1.467558e+00 2.556873e+06
1.468776e+00 2.556248e+06
1.469995e+00 2.554518e+06
1.471214e+00 2.553440e+06
1.472435e+00 2.547817e+06
1.473657e+00 2.547937e+06
1.474880e+00 2.542437e+06
1.476103e+00 2.538317e+06
1.477328e+00 2.538022e+06
1.478554e+00 2.537208e+06
1.479781e+00 2.531040e+06
1.481009e+00 2.528487e+06
1.482237e+00 2.527716e+06
1.483467e+00 2.524450e+06
1.484698e+00 2.524503e+06
1.485930e+00 2.521636e+06
1.487163e+00 2.518536e+06
1.488397e+00 2.513739e+06
1.489632e+00 2.513230e+06
1.490868e+00 2.514839e+06
1.492105e+00 2.507847e+06
1.493343e+00 2.504794e+06
1.494582e+00 2.502872e+06
1.495822e+00 2.499980e+06
1.497064e+00 2.498830e+06
1.498306e+00 2.497166e+06
1.499549e+00 2.495015e+06
1.500793e+00 2.493192e+06
1.502039e+00 2.488412e+06
1.503285e+00 2.487328e+06
1.504532e+00 2.482264e+06
1.505781e+00 2.482454e+06
1.507030e+00 2.477626e+06
1.508280e+00 2.477666e+06
1.509532e+00 2.475677e+06
1.510785e+00 2.475251e+06
1.512038e+00 2.470563e+06
1.513293e+00 2.466403e+06
1.514548e+00 2.466937e+06
1.515805e+00 2.463675e+06
1.517063e+00 2.461136e+06
1.518322e+00 2.457864e+06
1.519581e+00 2.457610e+06
1.520842e+00 2.452840e+06
1.522104e+00 2.451721e+06
1.523367e+00 2.449105e+06
1.524631e+00 2.445207e+06
1.525896e+00 6.934214e+06
1.527162e+00 2.440075e+06
1.528429e+00 2.440839e+06
1.529698e+00 2.438743e+06
1.530967e+00 2.437262e+06
1.532237e+00 2.434340e+06
1.533509e+00 2.437271e+06
1.534781e+00 2.427285e+06
1.536055e+00 2.426223e+06
1.537329e+00 2.425096e+06
1.538605e+00 2.424321e+06
1.539881e+00 2.419866e+06
1.541159e+00 2.416352e+06
1.542438e+00 2.413723e+06
1.543718e+00 2.412109e+06
1.544999e+00 2.408918e+06
1.546281e+00 2.410208e+06
1.547564e+00 2.404619e+06
1.548848e+00 2.401665e+06
1.550133e+00 2.401944e+06
1.551419e+00 2.399685e+06
1.552706e+00 2.396289e+06
1.553995e+00 2.395786e+06
1.555284e+00 2.391885e+06
1.556575e+00 2.389753e+06
1.557866e+00 2.387160e+06
1.559159e+00 2.384336e+06
1.560453e+00 2.385113e+06
1.561747e+00 2.381061e+06
1.563043e+00 2.376977e+06
1.564340e+00 2.376842e+06
1.565638e+00 2.811363e+06
1.566937e+00 3.236627e+06
1.568237e+00 7.176751e+06
1.569539e+00 1.173357e+07
1.570841e+00 2.365137e+06
1.572144e+00 2.361122e+06
1.573449e+00 2.358052e+06
1.574754e+00 2.358096e+06
1.576061e+00 2.355510e+06
1.577369e+00 2.352327e+06
1.578678e+00 2.349303e+06
1.579987e+00 2.347581e+06
1.581298e+00 2.345621e+06
1.582611e+00 2.342841e+06
1.583924e+00 2.341117e+06
1.585238e+00 2.339380e+06
1.586553e+00 2.338402e+06
1.587870e+00 2.339377e+06
1.589187e+00 2.333373e+06
1.590506e+00 2.331484e+06
1.591826e+00 2.332057e+06
1.593146e+00 2.328496e+06
1.594468e+00 2.323792e+06
1.595791e+00 2.323441e+06
1.597115e+00 2.320176e+06
1.598441e+00 2.313787e+06
1.599767e+00 2.313402e+06
1.601094e+00 2.313864e+06
1.602423e+00 2.310979e+06
1.603753e+00 2.309099e+06
1.605083e+00 2.307224e+06
1.606415e+00 2.304431e+06
