# 177-shell model evolved to new time with shell-mass conservation
# t0_days = 0.0002314814814814815
# t_days  = 2.0000000000000000e+02
# Shell masses: m_i = (Menc_out - Menc_in) * Msun
# Boundary evolution: r_out uses v_out; r_in uses previous shell v_out (continuous boundaries)
# rho(t) = m_i / [4/3 pi (r_out^3 - r_in^3)]
# Columns:	shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
shell	rzo_cm	vel_cm_s	rho_g_cc	X_C_bucket	X_Si_bucket	X_Ni56	Menc_Msun
162	3.73939200e+16	2.16400000e+09	1.50504753e-19	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37665169e+00
163	3.77049600e+16	2.18200000e+09	8.46324181e-20	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37688619e+00
164	3.79987200e+16	2.19900000e+09	8.14829946e-20	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37710287e+00
165	3.82406400e+16	2.21300000e+09	5.68720618e-20	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37722918e+00
166	3.84480000e+16	2.22500000e+09	5.01080202e-20	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37732570e+00
167	3.86899200e+16	2.23900000e+09	3.26255404e-20	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37739988e+00
168	3.88454400e+16	2.24800000e+09	1.91543938e-20	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37742816e+00
169	3.89664000e+16	2.25500000e+09	3.02782701e-20	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37746319e+00
170	3.91392000e+16	2.26500000e+09	1.53312539e-20	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37748871e+00
171	3.92774400e+16	2.27300000e+09	1.35696853e-20	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37750693e+00
172	3.94329600e+16	2.28200000e+09	7.74577533e-21	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37751872e+00
173	3.96748800e+16	2.29600000e+09	4.31266227e-21	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37752903e+00
174	3.98131200e+16	2.30400000e+09	3.96623840e-21	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37753451e+00
175	4.00896000e+16	2.32000000e+09	1.49095213e-21	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37753866e+00
176	4.03660800e+16	2.33600000e+09	1.19788631e-21	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37754205e+00
177	4.17830400e+16	2.41800000e+09	2.11745975e-22	1.00000000e+00	0.00000000e+00	0.00000000e+00	1.37754525e+00
